term,Total_Applications,Total_Funded_Amount,Total_Amount_Received,Avg_Interest_Rate
" 36 months",28237,273041225.0,294709458.0,11.0309097992004
" 60 months",10339,162715850.0,178361475.0,14.8288925427991
